date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,match_id,target,home_team_code,away_team_code,racha_local,goles_favor_local,goles_contra_local,racha_visitante,goles_favor_visitante,goles_contra_visitante,pred_codigo,prediccion_final
2026-06-14,Germany,Curaçao,,,FIFA World Cup,Houston,United States,True,21466,0,99,65,15.0,3.2,0.2,5.0,1.8,1.6,1,Gana Germany
2026-06-14,Ivory Coast,Ecuador,,,FIFA World Cup,Philadelphia,United States,True,21467,0,131,77,10.0,2.0,1.2,7.0,0.2,0.0,1,Gana Ivory Coast
2026-06-14,Netherlands,Japan,,,FIFA World Cup,Arlington,United States,True,21468,0,183,133,13.0,3.2,0.6,13.0,3.2,0.8,0,Empate
2026-06-14,Sweden,Tunisia,,,FIFA World Cup,Guadalupe,Mexico,True,21469,0,256,274,7.0,1.6,1.8,8.0,2.0,1.2,1,Gana Sweden
2026-06-15,Belgium,Egypt,,,FIFA World Cup,Seattle,United States,True,21470,0,26,78,11.0,3.6,0.6,8.0,1.2,0.8,1,Gana Belgium
2026-06-15,Iran,New Zealand,,,FIFA World Cup,Inglewood,United States,True,21471,0,124,185,6.0,1.0,0.6,3.0,1.2,1.8,1,Gana Iran
2026-06-15,Spain,Cape Verde,,,FIFA World Cup,Atlanta,United States,True,21472,0,252,46,13.0,3.6,0.4,6.0,1.4,1.2,1,Gana Spain
2026-06-15,Saudi Arabia,Uruguay,,,FIFA World Cup,Miami Gardens,United States,True,21473,0,233,286,9.0,1.4,1.0,8.0,1.0,0.4,1,Gana Saudi Arabia
2026-06-16,France,Senegal,,,FIFA World Cup,East Rutherford,United States,True,21474,0,92,236,13.0,2.8,0.8,12.0,1.6,0.8,1,Gana France
2026-06-16,Iraq,Norway,,,FIFA World Cup,Foxborough,United States,True,21475,0,125,194,9.0,1.2,1.0,15.0,5.0,0.6,0,Empate
2026-06-16,Argentina,Algeria,,,FIFA World Cup,Kansas City,United States,True,21476,0,12,4,10.0,1.8,0.6,12.0,1.6,0.6,1,Gana Argentina
2026-06-16,Austria,Jordan,,,FIFA World Cup,Santa Clara,United States,True,21477,0,17,135,10.0,3.0,0.6,12.0,2.0,0.8,1,Gana Austria
2026-06-17,Portugal,DR Congo,,,FIFA World Cup,Houston,United States,True,21478,0,209,69,10.0,3.0,1.4,10.0,1.2,0.4,1,Gana Portugal
2026-06-17,Uzbekistan,Colombia,,,FIFA World Cup,Mexico City,Mexico,True,21479,0,287,55,11.0,1.6,0.2,9.0,2.4,1.2,1,Gana Uzbekistan
2026-06-17,England,Croatia,,,FIFA World Cup,Arlington,United States,True,21480,0,81,63,15.0,3.2,0.0,13.0,2.6,0.6,1,Gana England
2026-06-17,Ghana,Panama,,,FIFA World Cup,Toronto,Canada,True,21481,0,100,201,10.0,1.6,0.6,11.0,1.8,0.8,1,Gana Ghana
2026-06-18,Czech Republic,South Africa,,,FIFA World Cup,Atlanta,United States,True,21482,0,67,248,5.0,2.4,1.6,6.0,1.2,1.6,1,Gana Czech Republic
2026-06-18,Mexico,South Korea,,,FIFA World Cup,Zapopan,Mexico,False,21483,0,171,249,13.0,1.4,0.2,11.0,2.0,0.6,1,Gana Mexico
2026-06-18,Switzerland,Bosnia and Herzegovina,,,FIFA World Cup,Inglewood,United States,True,21484,0,257,34,8.0,1.75,0.5,7.0,1.4,1.0,1,Gana Switzerland
2026-06-18,Canada,Qatar,,,FIFA World Cup,Vancouver,Canada,False,21485,0,45,212,9.0,2.2,0.6,4.0,0.75,1.5,1,Gana Canada
